cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note
UOP,9,Vessel,884,12945,51665,2446.173575754916,0.3613807330606897,-1.4684085036233125,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,Vessel,25,17118,51665,3234.731500175562,0.007728616733303258,-7.015574060755422,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,Vessel,2646,13449,51665,2541.412778704354,1.0411531814792268,0.058182343279561864,0.009594003807053861,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,Vessel,11206,12692,51665,2398.365007607678,4.672349690082314,2.224148253085282,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,Vessel,4967,24506,51665,4630.817276743914,1.0725968448257297,0.10110791461719729,6.1369070792832756e-09,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,Vessel,670,6062,51665,1145.5159688085207,0.5848892710739628,-0.7737645696664648,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,Vessel,1015,11933,51665,2254.9393031659642,0.4501229805054738,-1.1516088731655558,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,Vessel,941,16865,51665,3186.922932028324,0.2952691420752677,-1.7598975034042226,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,Vessel,714,15039,51665,2841.869788009129,0.25124303830267763,-1.992844473701671,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,Vessel,449,4332,51665,818.6036253511236,0.54849500551309,-0.8664496110944506,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,Vessel,202,13442,51665,2540.0900119967228,0.07952474087373429,-3.6524524239315026,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,other,11,10839,21415,848.9772976650281,0.012956765781904515,-6.270150546607153,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,other,6,13671,21415,1070.796995698736,0.005603302982826143,-7.47950678031409,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
