cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note,is_cand
UOP,7,Myeloid,852,20353,25735,1915.7612615578184,0.4447318238950027,-1.168992450861798,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,8,Myeloid,513,8047,25735,757.4377670002341,0.6772833655122473,-0.5621685321546457,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,9,Myeloid,6024,12945,25735,1218.4704727001404,4.943903143299622,2.305650479478112,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,10,Myeloid,13,17118,25735,1611.2613017907304,0.0080682133838577,-6.953535044568127,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,11,Myeloid,224,13449,25735,1265.9103427844102,0.176947760381912,-2.498604593120584,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,12,Myeloid,121,12692,25735,1194.656410931648,0.1012843516284641,-3.3035167990493863,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",True
UOP,13,Myeloid,5793,24506,25735,2306.6695561212546,2.5114130390402045,1.3284993206726932,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,14,Myeloid,2069,6062,25735,570.5962151802435,3.626031762840263,1.8583915626693377,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,15,Myeloid,91,11933,25735,1123.2142256261704,0.0810174924104698,-3.6256227572184714,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
UOP,16,Myeloid,690,16865,25735,1587.4472400222378,0.4346601150601604,-1.2020403766463004,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准",False
